M,N,K,bias,outdtype,splitK,us
128,1280,8192,True,torch.bfloat16,3,13.85
192,1280,8192,True,torch.bfloat16,3,13.90
256,1280,8192,True,torch.bfloat16,3,25.54
320,1280,8192,True,torch.bfloat16,3,25.56
512,1280,8192,True,torch.bfloat16,3,48.06
1024,1280,8192,True,torch.bfloat16,3,94.45
2048,1280,8192,True,torch.bfloat16,3,186.90
4096,1280,8192,True,torch.bfloat16,3,371.85
8192,1280,8192,True,torch.bfloat16,3,742.90
16384,1280,8192,True,torch.bfloat16,3,1483.54
128,8192,1024,True,torch.bfloat16,0,12.67
192,8192,1024,True,torch.bfloat16,0,12.70
256,8192,1024,True,torch.bfloat16,0,23.80
320,8192,1024,True,torch.bfloat16,0,23.82
512,8192,1024,True,torch.bfloat16,0,44.61
1024,8192,1024,True,torch.bfloat16,0,76.33
2048,8192,1024,True,torch.bfloat16,0,140.05
4096,8192,1024,True,torch.bfloat16,0,277.80
8192,8192,1024,True,torch.bfloat16,0,552.69
16384,8192,1024,True,torch.bfloat16,0,1095.12
