tile_m,tile_n,knl_name
112,128,fmoe_stage1_bf16_pertokenFp8_blockscale_g1u1_112x128_pf2
80,128,fmoe_stage1_bf16_pertokenFp8_blockscale_g1u1_80x128_2tg_pf2
64,128,fmoe_stage1_bf16_pertokenFp8_blockscale_g1u1_64x128_2tg_pf3
48,256,fmoe_stage1_bf16_pertokenFp8_blockscale_g1u1_48x256_pf3
128,128,fmoe_stage1_bf16_pertokenFp8_blockscale_g1u1_128x128_pf2
32,128,fmoe_stage1_bf16_pertokenFp8_blockscale_g1u1_32x128_3tg_pf3
16,512,fmoe_stage1_bf16_pertokenFp8_blockscale_g1u1_16x512_2tg_pf2
48,128,fmoe_stage1_bf16_pertokenFp8_blockscale_g1u1_48x128_2tg_pf3
48,512,fmoe_stage1_bf16_pertokenFp8_blockscale_g1u1_48x512_pf2
16,128,fmoe_stage1_bf16_pertokenFp8_blockscale_g1u1_16x128_4tg_pf2
16,256,fmoe_stage1_bf16_pertokenFp8_blockscale_g1u1_16x256_2tg_pf3
80,256,fmoe_stage1_bf16_pertokenFp8_blockscale_g1u1_80x256_pf2
16,256,fmoe_stage1_bf16_pertokenFp8_blockscale_g1u1_16x256_3tg_pf2
96,128,fmoe_stage1_bf16_pertokenFp8_blockscale_g1u1_96x128_pf3
64,256,fmoe_stage1_bf16_pertokenFp8_blockscale_g1u1_64x256_pf2
128,128,fmoe_stage1_bf16_pertokenFp8_blockscale_g1u1_128x128_pf3
32,128,fmoe_stage1_bf16_pertokenFp8_blockscale_g1u1_32x128_3tg_pf2
112,128,fmoe_stage1_bf16_pertokenFp8_blockscale_g1u1_112x128_pf3
80,256,fmoe_stage1_bf16_pertokenFp8_blockscale_g1u1_80x256_pf3
32,512,fmoe_stage1_bf16_pertokenFp8_blockscale_g1u1_32x512_pf3
48,128,fmoe_stage1_bf16_pertokenFp8_blockscale_g1u1_48x128_2tg_pf2
96,128,fmoe_stage1_bf16_pertokenFp8_blockscale_g1u1_96x128_pf2
144,128,fmoe_stage1_bf16_pertokenFp8_blockscale_g1u1_144x128_pf2
160,128,fmoe_stage1_bf16_pertokenFp8_blockscale_g1u1_160x128_pf3
32,256,fmoe_stage1_bf16_pertokenFp8_blockscale_g1u1_32x256_2tg_pf2
16,512,fmoe_stage1_bf16_pertokenFp8_blockscale_g1u1_16x512_pf3
48,256,fmoe_stage1_bf16_pertokenFp8_blockscale_g1u1_48x256_pf2
64,128,fmoe_stage1_bf16_pertokenFp8_blockscale_g1u1_64x128_2tg_pf2
144,128,fmoe_stage1_bf16_pertokenFp8_blockscale_g1u1_144x128_pf3
48,512,fmoe_stage1_bf16_pertokenFp8_blockscale_g1u1_48x512_pf3
32,256,fmoe_stage1_bf16_pertokenFp8_blockscale_g1u1_32x256_2tg_pf3
80,128,fmoe_stage1_bf16_pertokenFp8_blockscale_g1u1_80x128_pf3
32,512,fmoe_stage1_bf16_pertokenFp8_blockscale_g1u1_32x512_pf2
16,128,fmoe_stage1_bf16_pertokenFp8_blockscale_g1u1_16x128_4tg_pf3
160,128,fmoe_stage1_bf16_pertokenFp8_blockscale_g1u1_160x128_pf2
64,256,fmoe_stage1_bf16_pertokenFp8_blockscale_g1u1_64x256_pf3
